pickup_date,fare_amount,passenger_count,trip_distance,vendor_id
2024-01-01,12.5,1,2.3,VTS
2024-01-02,8.1,2,1.15,CMT
2024-01-03,45.2,1,12.5,VTS
2024-01-04,6.8,1,0.95,CMT
2024-01-05,22.4,3,5.4,VTS
2024-01-06,16.0,1,3.0,CMT
2024-01-07,9.6,2,1.55,VTS
2024-01-08,30.0,1,8.2,CMT
2024-01-09,11.1,4,2.15,VTS
2024-01-10,7.7,1,1.4,CMT
2024-01-11,18.3,2,4.5,VTS
2024-01-12,55.4,1,15.05,CMT
2024-01-13,10.5,1,2.2,VTS
2024-01-14,15.1,3,3.45,CMT
2024-01-15,6.0,1,0.7,VTS
2024-01-16,25.1,2,6.8,CMT
2024-01-17,13.2,1,2.75,VTS
2024-01-18,40.3,1,11.3,CMT
2024-01-19,9.9,2,1.95,VTS
2024-01-20,16.5,1,3.7,CMT
2024-01-21,13.1,1,2.3,VTS
2024-01-22,8.0,2,1.15,CMT
2024-01-23,45.1,1,12.5,VTS
2024-01-24,6.7,1,0.95,CMT
2024-01-25,22.3,3,5.4,VTS
2024-01-26,15.9,1,3.0,CMT
2024-01-27,9.5,2,1.55,VTS
2024-01-28,30.6,1,8.2,CMT
2024-01-01,11.0,4,2.15,VTS
2024-01-02,7.6,1,1.4,CMT
2024-01-03,18.2,2,4.5,VTS
2024-01-04,55.3,1,15.05,CMT
2024-01-05,10.4,1,2.2,VTS
2024-01-06,15.0,3,3.45,CMT
2024-01-07,6.6,1,0.7,VTS
2024-01-08,25.0,2,6.8,CMT
2024-01-09,13.1,1,2.75,VTS
2024-01-10,40.2,1,11.3,CMT
2024-01-11,9.8,2,1.95,VTS
2024-01-12,16.4,1,3.7,CMT
2024-01-13,13.0,1,2.3,VTS
2024-01-14,8.6,2,1.15,CMT
2024-01-15,45.0,1,12.5,VTS
2024-01-16,6.6,1,0.95,CMT
2024-01-17,22.2,3,5.4,VTS
2024-01-18,15.8,1,3.0,CMT
2024-01-19,9.4,2,1.55,VTS
2024-01-20,30.5,1,8.2,CMT
2024-01-21,11.6,4,2.15,VTS
2024-01-22,7.5,1,1.4,CMT
2024-01-23,18.1,2,4.5,VTS
