pickup_date,fare_amount,passenger_count,trip_distance,vendor_id
2024-01-01,12.5,1,2.3,VTS
2024-01-01,8.0,2,1.1,CMT
2024-01-01,45.0,1,12.4,VTS
2024-01-02,6.5,1,0.8,CMT
2024-01-02,22.0,3,5.2,VTS
2024-01-02,15.5,1,3.0,CMT
2024-01-03,9.0,2,1.5,VTS
2024-01-03,30.0,1,8.1,CMT
2024-01-03,11.0,4,2.0,VTS
2024-01-04,7.5,1,1.2,CMT
2024-01-04,18.0,2,4.5,VTS
2024-01-04,55.0,1,15.0,CMT
2024-01-05,10.0,1,2.1,VTS
2024-01-05,14.5,3,3.3,CMT
2024-01-05,6.0,1,0.5,VTS
2024-01-06,25.0,2,6.8,CMT
2024-01-06,13.0,1,2.7,VTS
2024-01-06,40.0,1,11.2,CMT
2024-01-07,9.5,2,1.8,VTS
2024-01-07,16.0,1,3.5,CMT
