device_id,ts,temp_c,humidity,region
dev-1,2024-03-01T00:00:00,16.05,42.0,us-east
dev-1,2024-03-01T02:00:00,16.45,42.2,us-east
dev-1,2024-03-01T04:00:00,16.85,42.4,us-east
dev-1,2024-03-01T06:00:00,17.25,42.6,us-east
dev-1,2024-03-01T08:00:00,17.65,42.8,us-east
dev-1,2024-03-01T10:00:00,18.05,43.0,us-east
dev-1,2024-03-01T12:00:00,18.45,43.2,us-east
dev-1,2024-03-01T14:00:00,18.85,43.4,us-east
dev-1,2024-03-01T16:00:00,19.25,43.6,us-east
dev-1,2024-03-01T18:00:00,19.65,43.8,us-east
dev-1,2024-03-01T20:00:00,20.05,44.0,us-east
dev-1,2024-03-01T22:00:00,20.45,44.2,us-east
dev-1,2024-03-02T00:00:00,16.1,42.0,us-east
dev-1,2024-03-02T02:00:00,16.5,42.2,us-east
dev-1,2024-03-02T04:00:00,16.9,42.4,us-east
dev-1,2024-03-02T06:00:00,17.3,42.6,us-east
dev-1,2024-03-02T08:00:00,17.7,42.8,us-east
dev-1,2024-03-02T10:00:00,18.1,43.0,us-east
dev-1,2024-03-02T12:00:00,18.5,43.2,us-east
dev-1,2024-03-02T14:00:00,18.9,43.4,us-east
dev-1,2024-03-02T16:00:00,19.3,43.6,us-east
dev-1,2024-03-02T18:00:00,19.7,43.8,us-east
dev-1,2024-03-02T20:00:00,20.1,44.0,us-east
dev-1,2024-03-02T22:00:00,20.5,44.2,us-east
dev-1,2024-03-03T00:00:00,16.15,42.0,us-east
dev-1,2024-03-03T02:00:00,16.55,42.2,us-east
dev-1,2024-03-03T04:00:00,16.95,42.4,us-east
dev-1,2024-03-03T06:00:00,17.35,42.6,us-east
dev-1,2024-03-03T08:00:00,17.75,42.8,us-east
dev-1,2024-03-03T10:00:00,18.15,43.0,us-east
dev-1,2024-03-03T12:00:00,18.55,43.2,us-east
dev-1,2024-03-03T14:00:00,18.95,43.4,us-east
dev-1,2024-03-03T16:00:00,19.35,43.6,us-east
dev-1,2024-03-03T18:00:00,19.75,43.8,us-east
dev-1,2024-03-03T20:00:00,20.15,44.0,us-east
dev-1,2024-03-03T22:00:00,20.55,44.2,us-east
dev-1,2024-03-04T00:00:00,16.2,42.0,us-east
dev-1,2024-03-04T02:00:00,16.6,42.2,us-east
dev-1,2024-03-04T04:00:00,17.0,42.4,us-east
dev-1,2024-03-04T06:00:00,17.4,42.6,us-east
dev-1,2024-03-04T08:00:00,17.8,42.8,us-east
dev-1,2024-03-04T10:00:00,18.2,43.0,us-east
dev-1,2024-03-04T12:00:00,18.6,43.2,us-east
dev-1,2024-03-04T14:00:00,19.0,43.4,us-east
dev-1,2024-03-04T16:00:00,19.4,43.6,us-east
dev-1,2024-03-04T18:00:00,19.8,43.8,us-east
dev-1,2024-03-04T20:00:00,20.2,44.0,us-east
dev-1,2024-03-04T22:00:00,20.6,44.2,us-east
dev-1,2024-03-05T00:00:00,16.25,42.0,us-east
dev-1,2024-03-05T02:00:00,16.65,42.2,us-east
dev-1,2024-03-05T04:00:00,17.05,42.4,us-east
dev-1,2024-03-05T06:00:00,17.45,42.6,us-east
dev-1,2024-03-05T08:00:00,17.85,42.8,us-east
dev-1,2024-03-05T10:00:00,18.25,43.0,us-east
dev-1,2024-03-05T12:00:00,18.65,43.2,us-east
dev-1,2024-03-05T14:00:00,19.05,43.4,us-east
dev-1,2024-03-05T16:00:00,19.45,43.6,us-east
dev-1,2024-03-05T18:00:00,19.85,43.8,us-east
dev-1,2024-03-05T20:00:00,20.25,44.0,us-east
dev-1,2024-03-05T22:00:00,20.65,44.2,us-east
dev-1,2024-03-06T00:00:00,16.3,42.0,us-east
dev-1,2024-03-06T02:00:00,16.7,42.2,us-east
dev-1,2024-03-06T04:00:00,17.1,42.4,us-east
dev-1,2024-03-06T06:00:00,17.5,42.6,us-east
dev-1,2024-03-06T08:00:00,17.9,42.8,us-east
dev-1,2024-03-06T10:00:00,18.3,43.0,us-east
dev-1,2024-03-06T12:00:00,18.7,43.2,us-east
dev-1,2024-03-06T14:00:00,19.1,43.4,us-east
dev-1,2024-03-06T16:00:00,19.5,43.6,us-east
dev-1,2024-03-06T18:00:00,19.9,43.8,us-east
dev-1,2024-03-06T20:00:00,20.3,44.0,us-east
dev-1,2024-03-06T22:00:00,20.7,44.2,us-east
dev-1,2024-03-07T00:00:00,16.35,42.0,us-east
dev-1,2024-03-07T02:00:00,16.75,42.2,us-east
dev-1,2024-03-07T04:00:00,17.15,42.4,us-east
dev-1,2024-03-07T06:00:00,17.55,42.6,us-east
dev-1,2024-03-07T08:00:00,17.95,42.8,us-east
dev-1,2024-03-07T10:00:00,18.35,43.0,us-east
dev-1,2024-03-07T12:00:00,18.75,43.2,us-east
dev-1,2024-03-07T14:00:00,19.15,43.4,us-east
dev-1,2024-03-07T16:00:00,19.55,43.6,us-east
dev-1,2024-03-07T18:00:00,19.95,43.8,us-east
dev-1,2024-03-07T20:00:00,20.35,44.0,us-east
dev-1,2024-03-07T22:00:00,20.75,44.2,us-east
dev-1,2024-03-08T00:00:00,16.4,42.0,us-east
dev-1,2024-03-08T02:00:00,16.8,42.2,us-east
dev-1,2024-03-08T04:00:00,17.2,42.4,us-east
dev-1,2024-03-08T06:00:00,17.6,42.6,us-east
dev-1,2024-03-08T08:00:00,18.0,42.8,us-east
dev-1,2024-03-08T10:00:00,18.4,43.0,us-east
dev-1,2024-03-08T12:00:00,18.8,43.2,us-east
dev-1,2024-03-08T14:00:00,19.2,43.4,us-east
dev-1,2024-03-08T16:00:00,19.6,43.6,us-east
dev-1,2024-03-08T18:00:00,20.0,43.8,us-east
dev-1,2024-03-08T20:00:00,20.4,44.0,us-east
dev-1,2024-03-08T22:00:00,20.8,44.2,us-east
dev-1,2024-03-09T00:00:00,16.45,42.0,us-east
dev-1,2024-03-09T02:00:00,16.85,42.2,us-east
dev-1,2024-03-09T04:00:00,17.25,42.4,us-east
dev-1,2024-03-09T06:00:00,17.65,42.6,us-east
dev-1,2024-03-09T08:00:00,18.05,42.8,us-east
dev-1,2024-03-09T10:00:00,18.45,43.0,us-east
dev-1,2024-03-09T12:00:00,18.85,43.2,us-east
dev-1,2024-03-09T14:00:00,19.25,43.4,us-east
dev-1,2024-03-09T16:00:00,19.65,43.6,us-east
dev-1,2024-03-09T18:00:00,20.05,43.8,us-east
dev-1,2024-03-09T20:00:00,20.45,44.0,us-east
dev-1,2024-03-09T22:00:00,20.85,44.2,us-east
dev-1,2024-03-10T00:00:00,16.5,42.0,us-east
dev-1,2024-03-10T02:00:00,16.9,42.2,us-east
dev-1,2024-03-10T04:00:00,17.3,42.4,us-east
dev-1,2024-03-10T06:00:00,17.7,42.6,us-east
dev-1,2024-03-10T08:00:00,18.1,42.8,us-east
dev-1,2024-03-10T10:00:00,18.5,43.0,us-east
dev-1,2024-03-10T12:00:00,18.9,43.2,us-east
dev-1,2024-03-10T14:00:00,19.3,43.4,us-east
dev-1,2024-03-10T16:00:00,19.7,43.6,us-east
dev-1,2024-03-10T18:00:00,20.1,43.8,us-east
dev-1,2024-03-10T20:00:00,20.5,44.0,us-east
dev-1,2024-03-10T22:00:00,20.9,44.2,us-east
dev-1,2024-03-11T00:00:00,16.55,42.0,us-east
dev-1,2024-03-11T02:00:00,16.95,42.2,us-east
dev-1,2024-03-11T04:00:00,17.35,42.4,us-east
dev-1,2024-03-11T06:00:00,17.75,42.6,us-east
dev-1,2024-03-11T08:00:00,18.15,42.8,us-east
dev-1,2024-03-11T10:00:00,18.55,43.0,us-east
dev-1,2024-03-11T12:00:00,18.95,43.2,us-east
dev-1,2024-03-11T14:00:00,19.35,43.4,us-east
dev-1,2024-03-11T16:00:00,19.75,43.6,us-east
dev-1,2024-03-11T18:00:00,20.15,43.8,us-east
dev-1,2024-03-11T20:00:00,20.55,44.0,us-east
dev-1,2024-03-11T22:00:00,20.95,44.2,us-east
dev-1,2024-03-12T00:00:00,16.6,42.0,us-east
dev-1,2024-03-12T02:00:00,17.0,42.2,us-east
dev-1,2024-03-12T04:00:00,17.4,42.4,us-east
dev-1,2024-03-12T06:00:00,17.8,42.6,us-east
dev-1,2024-03-12T08:00:00,18.2,42.8,us-east
dev-1,2024-03-12T10:00:00,18.6,43.0,us-east
dev-1,2024-03-12T12:00:00,19.0,43.2,us-east
dev-1,2024-03-12T14:00:00,19.4,43.4,us-east
dev-1,2024-03-12T16:00:00,19.8,43.6,us-east
dev-1,2024-03-12T18:00:00,20.2,43.8,us-east
dev-1,2024-03-12T20:00:00,20.6,44.0,us-east
dev-1,2024-03-12T22:00:00,21.0,44.2,us-east
dev-1,2024-03-13T00:00:00,16.65,42.0,us-east
dev-1,2024-03-13T02:00:00,17.05,42.2,us-east
dev-1,2024-03-13T04:00:00,17.45,42.4,us-east
dev-1,2024-03-13T06:00:00,17.85,42.6,us-east
dev-1,2024-03-13T08:00:00,18.25,42.8,us-east
dev-1,2024-03-13T10:00:00,18.65,43.0,us-east
dev-1,2024-03-13T12:00:00,19.05,43.2,us-east
dev-1,2024-03-13T14:00:00,19.45,43.4,us-east
dev-1,2024-03-13T16:00:00,19.85,43.6,us-east
dev-1,2024-03-13T18:00:00,20.25,43.8,us-east
dev-1,2024-03-13T20:00:00,20.65,44.0,us-east
dev-1,2024-03-13T22:00:00,21.05,44.2,us-east
dev-1,2024-03-14T00:00:00,16.7,42.0,us-east
dev-1,2024-03-14T02:00:00,17.1,42.2,us-east
dev-1,2024-03-14T04:00:00,17.5,42.4,us-east
dev-1,2024-03-14T06:00:00,17.9,42.6,us-east
dev-1,2024-03-14T08:00:00,18.3,42.8,us-east
dev-1,2024-03-14T10:00:00,18.7,43.0,us-east
dev-1,2024-03-14T12:00:00,19.1,43.2,us-east
dev-1,2024-03-14T14:00:00,19.5,43.4,us-east
dev-1,2024-03-14T16:00:00,19.9,43.6,us-east
dev-1,2024-03-14T18:00:00,20.3,43.8,us-east
dev-1,2024-03-14T20:00:00,20.7,44.0,us-east
dev-1,2024-03-14T22:00:00,21.1,44.2,us-east
dev-1,2024-03-15T00:00:00,16.75,42.0,us-east
dev-1,2024-03-15T02:00:00,17.15,42.2,us-east
dev-1,2024-03-15T04:00:00,17.55,42.4,us-east
dev-1,2024-03-15T06:00:00,17.95,42.6,us-east
dev-1,2024-03-15T08:00:00,18.35,42.8,us-east
dev-1,2024-03-15T10:00:00,18.75,43.0,us-east
dev-1,2024-03-15T12:00:00,19.15,43.2,us-east
dev-1,2024-03-15T14:00:00,19.55,43.4,us-east
dev-1,2024-03-15T16:00:00,19.95,43.6,us-east
dev-1,2024-03-15T18:00:00,20.35,43.8,us-east
dev-1,2024-03-15T20:00:00,20.75,44.0,us-east
dev-1,2024-03-15T22:00:00,21.15,44.2,us-east
dev-1,2024-03-16T00:00:00,16.8,42.0,us-east
dev-1,2024-03-16T02:00:00,17.2,42.2,us-east
dev-1,2024-03-16T04:00:00,17.6,42.4,us-east
dev-1,2024-03-16T06:00:00,18.0,42.6,us-east
dev-1,2024-03-16T08:00:00,18.4,42.8,us-east
dev-1,2024-03-16T10:00:00,18.8,43.0,us-east
dev-1,2024-03-16T12:00:00,19.2,43.2,us-east
dev-1,2024-03-16T14:00:00,19.6,43.4,us-east
dev-1,2024-03-16T16:00:00,20.0,43.6,us-east
dev-1,2024-03-16T18:00:00,20.4,43.8,us-east
dev-1,2024-03-16T20:00:00,20.8,44.0,us-east
dev-1,2024-03-16T22:00:00,21.2,44.2,us-east
dev-1,2024-03-17T00:00:00,16.85,42.0,us-east
dev-1,2024-03-17T02:00:00,17.25,42.2,us-east
dev-1,2024-03-17T04:00:00,17.65,42.4,us-east
dev-1,2024-03-17T06:00:00,18.05,42.6,us-east
dev-1,2024-03-17T08:00:00,18.45,42.8,us-east
dev-1,2024-03-17T10:00:00,18.85,43.0,us-east
dev-1,2024-03-17T12:00:00,19.25,43.2,us-east
dev-1,2024-03-17T14:00:00,19.65,43.4,us-east
dev-1,2024-03-17T16:00:00,20.05,43.6,us-east
dev-1,2024-03-17T18:00:00,20.45,43.8,us-east
dev-1,2024-03-17T20:00:00,20.85,44.0,us-east
dev-1,2024-03-17T22:00:00,21.25,44.2,us-east
dev-1,2024-03-18T00:00:00,16.9,42.0,us-east
dev-1,2024-03-18T02:00:00,17.3,42.2,us-east
dev-1,2024-03-18T04:00:00,17.7,42.4,us-east
dev-1,2024-03-18T06:00:00,18.1,42.6,us-east
dev-1,2024-03-18T08:00:00,18.5,42.8,us-east
dev-1,2024-03-18T10:00:00,18.9,43.0,us-east
dev-1,2024-03-18T12:00:00,19.3,43.2,us-east
dev-1,2024-03-18T14:00:00,19.7,43.4,us-east
dev-1,2024-03-18T16:00:00,20.1,43.6,us-east
dev-1,2024-03-18T18:00:00,20.5,43.8,us-east
dev-1,2024-03-18T20:00:00,20.9,44.0,us-east
dev-1,2024-03-18T22:00:00,21.3,44.2,us-east
dev-1,2024-03-19T00:00:00,16.95,42.0,us-east
dev-1,2024-03-19T02:00:00,17.35,42.2,us-east
dev-1,2024-03-19T04:00:00,17.75,42.4,us-east
dev-1,2024-03-19T06:00:00,18.15,42.6,us-east
dev-1,2024-03-19T08:00:00,18.55,42.8,us-east
dev-1,2024-03-19T10:00:00,18.95,43.0,us-east
dev-1,2024-03-19T12:00:00,19.35,43.2,us-east
dev-1,2024-03-19T14:00:00,19.75,43.4,us-east
dev-1,2024-03-19T16:00:00,20.15,43.6,us-east
dev-1,2024-03-19T18:00:00,20.55,43.8,us-east
dev-1,2024-03-19T20:00:00,20.95,44.0,us-east
dev-1,2024-03-19T22:00:00,21.35,44.2,us-east
dev-1,2024-03-20T00:00:00,17.0,42.0,us-east
dev-1,2024-03-20T02:00:00,17.4,42.2,us-east
dev-1,2024-03-20T04:00:00,17.8,42.4,us-east
dev-1,2024-03-20T06:00:00,18.2,42.6,us-east
dev-1,2024-03-20T08:00:00,18.6,42.8,us-east
dev-1,2024-03-20T10:00:00,19.0,43.0,us-east
dev-1,2024-03-20T12:00:00,19.4,43.2,us-east
dev-1,2024-03-20T14:00:00,19.8,43.4,us-east
dev-1,2024-03-20T16:00:00,20.2,43.6,us-east
dev-1,2024-03-20T18:00:00,20.6,43.8,us-east
dev-1,2024-03-20T20:00:00,21.0,44.0,us-east
dev-1,2024-03-20T22:00:00,21.4,44.2,us-east
dev-1,2024-03-21T00:00:00,17.05,42.0,us-east
dev-1,2024-03-21T02:00:00,17.45,42.2,us-east
dev-1,2024-03-21T04:00:00,17.85,42.4,us-east
dev-1,2024-03-21T06:00:00,18.25,42.6,us-east
dev-1,2024-03-21T08:00:00,18.65,42.8,us-east
dev-1,2024-03-21T10:00:00,19.05,43.0,us-east
dev-1,2024-03-21T12:00:00,19.45,43.2,us-east
dev-1,2024-03-21T14:00:00,19.85,43.4,us-east
dev-1,2024-03-21T16:00:00,20.25,43.6,us-east
dev-1,2024-03-21T18:00:00,20.65,43.8,us-east
dev-1,2024-03-21T20:00:00,21.05,44.0,us-east
dev-1,2024-03-21T22:00:00,21.45,44.2,us-east
dev-1,2024-03-22T00:00:00,17.1,42.0,us-east
dev-1,2024-03-22T02:00:00,17.5,42.2,us-east
dev-1,2024-03-22T04:00:00,17.9,42.4,us-east
dev-1,2024-03-22T06:00:00,18.3,42.6,us-east
dev-1,2024-03-22T08:00:00,18.7,42.8,us-east
dev-1,2024-03-22T10:00:00,19.1,43.0,us-east
dev-1,2024-03-22T12:00:00,19.5,43.2,us-east
dev-1,2024-03-22T14:00:00,19.9,43.4,us-east
dev-1,2024-03-22T16:00:00,20.3,43.6,us-east
dev-1,2024-03-22T18:00:00,20.7,43.8,us-east
dev-1,2024-03-22T20:00:00,21.1,44.0,us-east
dev-1,2024-03-22T22:00:00,21.5,44.2,us-east
dev-1,2024-03-23T00:00:00,17.15,42.0,us-east
dev-1,2024-03-23T02:00:00,17.55,42.2,us-east
dev-1,2024-03-23T04:00:00,17.95,42.4,us-east
dev-1,2024-03-23T06:00:00,18.35,42.6,us-east
dev-1,2024-03-23T08:00:00,18.75,42.8,us-east
dev-1,2024-03-23T10:00:00,19.15,43.0,us-east
dev-1,2024-03-23T12:00:00,19.55,43.2,us-east
dev-1,2024-03-23T14:00:00,19.95,43.4,us-east
dev-1,2024-03-23T16:00:00,20.35,43.6,us-east
dev-1,2024-03-23T18:00:00,20.75,43.8,us-east
dev-1,2024-03-23T20:00:00,21.15,44.0,us-east
dev-1,2024-03-23T22:00:00,21.55,44.2,us-east
dev-1,2024-03-24T00:00:00,17.2,42.0,us-east
dev-1,2024-03-24T02:00:00,17.6,42.2,us-east
dev-1,2024-03-24T04:00:00,18.0,42.4,us-east
dev-1,2024-03-24T06:00:00,18.4,42.6,us-east
dev-1,2024-03-24T08:00:00,18.8,42.8,us-east
dev-1,2024-03-24T10:00:00,19.2,43.0,us-east
dev-1,2024-03-24T12:00:00,19.6,43.2,us-east
dev-1,2024-03-24T14:00:00,20.0,43.4,us-east
dev-1,2024-03-24T16:00:00,20.4,43.6,us-east
dev-1,2024-03-24T18:00:00,20.8,43.8,us-east
dev-1,2024-03-24T20:00:00,21.2,44.0,us-east
dev-1,2024-03-24T22:00:00,21.6,44.2,us-east
dev-1,2024-03-25T00:00:00,17.25,42.0,us-east
dev-1,2024-03-25T02:00:00,17.65,42.2,us-east
dev-1,2024-03-25T04:00:00,18.05,42.4,us-east
dev-1,2024-03-25T06:00:00,18.45,42.6,us-east
dev-1,2024-03-25T08:00:00,18.85,42.8,us-east
dev-1,2024-03-25T10:00:00,19.25,43.0,us-east
dev-1,2024-03-25T12:00:00,19.65,43.2,us-east
dev-1,2024-03-25T14:00:00,20.05,43.4,us-east
dev-1,2024-03-25T16:00:00,20.45,43.6,us-east
dev-1,2024-03-25T18:00:00,20.85,43.8,us-east
dev-1,2024-03-25T20:00:00,21.25,44.0,us-east
dev-1,2024-03-25T22:00:00,21.65,44.2,us-east
dev-1,2024-03-26T00:00:00,17.3,42.0,us-east
dev-1,2024-03-26T02:00:00,17.7,42.2,us-east
dev-1,2024-03-26T04:00:00,18.1,42.4,us-east
dev-1,2024-03-26T06:00:00,18.5,42.6,us-east
dev-1,2024-03-26T08:00:00,18.9,42.8,us-east
dev-1,2024-03-26T10:00:00,19.3,43.0,us-east
dev-1,2024-03-26T12:00:00,19.7,43.2,us-east
dev-1,2024-03-26T14:00:00,20.1,43.4,us-east
dev-1,2024-03-26T16:00:00,20.5,43.6,us-east
dev-1,2024-03-26T18:00:00,20.9,43.8,us-east
dev-1,2024-03-26T20:00:00,21.3,44.0,us-east
dev-1,2024-03-26T22:00:00,21.7,44.2,us-east
dev-1,2024-03-27T00:00:00,17.35,42.0,us-east
dev-1,2024-03-27T02:00:00,17.75,42.2,us-east
