id,category,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39
0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,B,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9
2,C,0.0,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2,4.4,4.6,4.8,5.0,5.2,5.4,5.6,5.8,6.0,6.2,6.4,6.6,6.8,7.0,7.2,7.4,7.6,7.8
3,D,0.0,0.3,0.6,0.9,1.2,1.5,1.8,2.1,2.4,2.7,3.0,3.3,3.6,3.9,4.2,4.5,4.8,5.1,5.4,5.7,6.0,6.3,6.6,6.9,7.2,7.5,7.8,8.1,8.4,8.7,9.0,9.3,9.6,9.9,0.2,0.5,0.8,1.1,1.4,1.7
4,A,0.0,0.4,0.8,1.2,1.6,2.0,2.4,2.8,3.2,3.6,4.0,4.4,4.8,5.2,5.6,6.0,6.4,6.8,7.2,7.6,8.0,8.4,8.8,9.2,9.6,0.0,0.4,0.8,1.2,1.6,2.0,2.4,2.8,3.2,3.6,4.0,4.4,4.8,5.2,5.6
5,B,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5
6,C,0.0,0.6,1.2,1.8,2.4,3.0,3.6,4.2,4.8,5.4,6.0,6.6,7.2,7.8,8.4,9.0,9.6,0.2,0.8,1.4,2.0,2.6,3.2,3.8,4.4,5.0,5.6,6.2,6.8,7.4,8.0,8.6,9.2,9.8,0.4,1.0,1.6,2.2,2.8,3.4
7,D,0.0,0.7,1.4,2.1,2.8,3.5,4.2,4.9,5.6,6.3,7.0,7.7,8.4,9.1,9.8,0.5,1.2,1.9,2.6,3.3,4.0,4.7,5.4,6.1,6.8,7.5,8.2,8.9,9.6,0.3,1.0,1.7,2.4,3.1,3.8,4.5,5.2,5.9,6.6,7.3
8,A,0.0,0.8,1.6,2.4,3.2,4.0,4.8,5.6,6.4,7.2,8.0,8.8,9.6,0.4,1.2,2.0,2.8,3.6,4.4,5.2,6.0,6.8,7.6,8.4,9.2,0.0,0.8,1.6,2.4,3.2,4.0,4.8,5.6,6.4,7.2,8.0,8.8,9.6,0.4,1.2
9,B,0.0,0.9,1.8,2.7,3.6,4.5,5.4,6.3,7.2,8.1,9.0,9.9,0.8,1.7,2.6,3.5,4.4,5.3,6.2,7.1,8.0,8.9,9.8,0.7,1.6,2.5,3.4,4.3,5.2,6.1,7.0,7.9,8.8,9.7,0.6,1.5,2.4,3.3,4.2,5.1
10,C,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
11,D,0.0,1.1,2.2,3.3,4.4,5.5,6.6,7.7,8.8,9.9,1.0,2.1,3.2,4.3,5.4,6.5,7.6,8.7,9.8,0.9,2.0,3.1,4.2,5.3,6.4,7.5,8.6,9.7,0.8,1.9,3.0,4.1,5.2,6.3,7.4,8.5,9.6,0.7,1.8,2.9
12,A,0.0,1.2,2.4,3.6,4.8,6.0,7.2,8.4,9.6,0.8,2.0,3.2,4.4,5.6,6.8,8.0,9.2,0.4,1.6,2.8,4.0,5.2,6.4,7.6,8.8,0.0,1.2,2.4,3.6,4.8,6.0,7.2,8.4,9.6,0.8,2.0,3.2,4.4,5.6,6.8
